Type,Title,ID,jp,eng,Furigana,Image,Sound,Update
Anime,A Silent Voice,A-KoenoKatachi0019,え　今から言う所　書いとけ,"Okay, note down the following sections.",え 今[いま]から 言[い]う 所[ところ] 書[か]いとけ,"<img src=""KoenoKatachi_1_0.6.21.197.jpg"">",[sound:KoenoKatachi_1_0.6.19.487-0.6.22.907.mp3],
Anime,A Silent Voice,A-KoenoKatachi0020,20ページから25ページと　32ページの練習問題,"Pages 20 through 25, and the practice problems on page 32.",20ページから 25ページと 32ページの 練習問題[れんしゅうもんだい],"<img src=""KoenoKatachi_1_0.6.25.764.jpg"">",[sound:KoenoKatachi_1_0.6.23.241-0.6.28.287.mp3],
Anime,A Silent Voice,A-KoenoKatachi0021,次の小テストの範囲だから,These will be on the upcoming quiz.,次[つぎ]の 小テスト[しょうてすと]の 範囲[はんい]だから,"<img src=""KoenoKatachi_1_0.6.29.330.jpg"">",[sound:KoenoKatachi_1_0.6.28.371-0.6.30.289.mp3],
Anime,A Silent Voice,A-KoenoKatachi0022,ノート貸してみ？,Gimme your notebook.,ノート 貸[か]してみ？,"<img src=""KoenoKatachi_1_0.6.34.377.jpg"">",[sound:KoenoKatachi_1_0.6.33.459-0.6.35.294.mp3],
Anime,A Silent Voice,A-KoenoKatachi0023,まず支点　文字のとおり力を支える点な,"First up, the fulcrum. It's the point that supports the lever.",まず 支点[してん] 文字[もじ]のとおり 力[ちから]を 支[ささ]える 点[てん]な,"<img src=""KoenoKatachi_1_0.6.38.402.jpg"">",[sound:KoenoKatachi_1_0.6.36.337-0.6.40.466.mp3],
Anime,A Silent Voice,A-KoenoKatachi0024,次　力を押さえる所が　力点,"Then there's the effort, force that's applied at one point.",次[つぎ] 力[りょく]を 押[お]さえる 所[ところ]が 力点[りきてん],"<img src=""KoenoKatachi_1_0.6.42.322.jpg"">",[sound:KoenoKatachi_1_0.6.40.633-0.6.44.011.mp3],
Anime,A Silent Voice,A-KoenoKatachi0025,重りを下げたり　置いたりする所が作用点…,"Finally, there's the load that is raised or lowered.",重[おも]りを 下[さ]げたり 置[お]いたりする 所[ところ]が 作用点[さようてん]…,"<img src=""KoenoKatachi_1_0.6.45.889.jpg"">",[sound:KoenoKatachi_1_0.6.44.137-0.6.47.640.mp3],
Anime,A Silent Voice,A-KoenoKatachi0026,テコはこの３つの位置によって　３種類に…,Levers fall under three classes based on their locations.,テコはこの ３[みっ]つの 位置[いち]によって３ 種類[しゅるい]に…,"<img src=""KoenoKatachi_1_0.6.49.184.jpg"">",[sound:KoenoKatachi_1_0.6.47.807-0.6.50.560.mp3],
Anime,A Silent Voice,A-KoenoKatachi0028,あのね　まだ早いの,"You, uh, went too early.",あのねまだ 早[はや]いの,"<img src=""KoenoKatachi_1_0.7.15.126.jpg"">",[sound:KoenoKatachi_1_0.7.13.833-0.7.16.419.mp3],
Anime,A Silent Voice,A-KoenoKatachi0029,私が　教えて　あげるね,"I'll tell you when to start, okay?",私[わたし]が 教[おし]えてあげるね,"<img src=""KoenoKatachi_1_0.7.17.504.jpg"">",[sound:KoenoKatachi_1_0.7.16.878-0.7.18.129.mp3] [sound:KoenoKatachi_1_0.7.18.296-0.7.20.173.mp3],
Anime,A Silent Voice,A-KoenoKatachi0030,じゃあ　もう１回,"Once more, from the top.",じゃ　あもう 一回[いっかい],"<img src=""KoenoKatachi_1_0.7.24.198.jpg"">",[sound:KoenoKatachi_1_0.7.23.176-0.7.25.219.mp3],
Anime,A Silent Voice,A-KoenoKatachi0031,これ　合唱コン　ヤバくない？,Forget about winning the choir competition.,これ 合唱[がっしょう]コンヤバくない？,"<img src=""KoenoKatachi_1_0.7.29.912.jpg"">",[sound:KoenoKatachi_1_0.7.28.890-0.7.30.933.mp3],
Anime,A Silent Voice,A-KoenoKatachi0032,負け戦(いくさ)じゃん？,We're screwed.,負け戦[まけいくさ]じゃん？,"<img src=""KoenoKatachi_1_0.7.32.435.jpg"">",[sound:KoenoKatachi_1_0.7.31.350-0.7.33.519.mp3],
Anime,A Silent Voice,A-KoenoKatachi0033,しょうもないこと言った罰,Here's your punishment for being a lameo.,しょうもないこと 言[い]った 罰[ばつ],"<img src=""KoenoKatachi_1_0.7.35.084.jpg"">",[sound:KoenoKatachi_1_0.7.34.187-0.7.35.980.mp3],
Anime,A Silent Voice,A-KoenoKatachi0034,私　また　聞きそびれちゃったんだけど,I was distracted for half the class again.,私[わたし]また 聞[き]きそびれちゃったんだけど,"<img src=""KoenoKatachi_1_0.7.43.133.jpg"">",[sound:KoenoKatachi_1_0.7.41.694-0.7.44.572.mp3],
Anime,A Silent Voice,A-KoenoKatachi0035,あとでコピーしてあげるね,I'll copy my notes for you later.,あとでコピーしてあげるね,"<img src=""KoenoKatachi_1_0.7.45.531.jpg"">",[sound:KoenoKatachi_1_0.7.44.697-0.7.46.365.mp3],
Anime,A Silent Voice,A-KoenoKatachi0036,頼むわ…,Thanks a bunch.,頼[たの]むわ…,"<img src=""KoenoKatachi_1_0.7.47.554.jpg"">",[sound:KoenoKatachi_1_0.7.46.699-0.7.48.409.mp3],
Anime,A Silent Voice,A-KoenoKatachi0037,僕は悪くない,I didn't do anything wrong.,僕[ぼく]は 悪[わる]くない,"<img src=""KoenoKatachi_1_0.7.51.642.jpg"">",[sound:KoenoKatachi_1_0.7.50.745-0.7.52.538.mp3],
Anime,A Silent Voice,A-KoenoKatachi0038,だから絶対に　ごめんなさいは…,"So I will never apologize—""",だから 絶対[ぜったい]にごめんなさいは…,"<img src=""KoenoKatachi_1_0.7.53.748.jpg"">",[sound:KoenoKatachi_1_0.7.52.705-0.7.54.790.mp3],
Anime,A Silent Voice,A-KoenoKatachi0039,なんだ　(植野)　その読み方は,"You call that a reading, Ueno?",なんだ ( 植野[うえの])その 読み方[よみかた]は,"<img src=""KoenoKatachi_1_0.7.56.063.jpg"">",[sound:KoenoKatachi_1_0.7.54.874-0.7.57.251.mp3],
Anime,A Silent Voice,A-KoenoKatachi0040,ったく　もういい　次,Forget it. Net.,ったくもういい　 次[つぎ],"<img src=""KoenoKatachi_1_0.7.59.984.jpg"">",[sound:KoenoKatachi_1_0.7.58.920-0.8.01.047.mp3],
Anime,A Silent Voice,A-KoenoKatachi0041,クソ眼鏡,"Screw you too, four-eyes.",クソ 眼鏡[めがね],"<img src=""KoenoKatachi_1_0.8.02.027.jpg"">",[sound:KoenoKatachi_1_0.8.01.380-0.8.02.673.mp3],
Anime,A Silent Voice,A-KoenoKatachi0042,ここからだよ,Start from here.,ここからだよ,"<img src=""KoenoKatachi_1_0.8.07.971.jpg"">",[sound:KoenoKatachi_1_0.8.07.053-0.8.08.888.mp3],
Anime,A Silent Voice,A-KoenoKatachi0043,よし　次　(石田),"All right. Net, Ishida.",よし　 次[つぎ] ( 石田[いしだ]),"<img src=""KoenoKatachi_1_0.8.24.132.jpg"">",[sound:KoenoKatachi_1_0.8.22.860-0.8.25.404.mp3],
Anime,A Silent Voice,A-KoenoKatachi0044,ウソでしょ,Are you kidding me?,ウソでしょ,"<img src=""KoenoKatachi_1_0.8.26.969.jpg"">",[sound:KoenoKatachi_1_0.8.26.197-0.8.27.740.mp3],
Anime,A Silent Voice,A-KoenoKatachi0045,(石田)　ふざけるな,"Take this seriously, Ishida.",( 石田[いしだ])ふざけるな,"<img src=""KoenoKatachi_1_0.8.37.313.jpg"">",[sound:KoenoKatachi_1_0.8.36.249-0.8.38.376.mp3],
Anime,A Silent Voice,A-KoenoKatachi0046,帰ろう,Let's leave.,帰[かえ]ろ,"<img src=""KoenoKatachi_1_0.9.15.267.jpg"">",[sound:KoenoKatachi_1_0.9.14.620-0.9.15.913.mp3],
Anime,A Silent Voice,A-KoenoKatachi0047,バイバイ　(西宮)さん,"Bye bye, Nishimiya.",バイバイ ( 西宮[にしみや])さん,"<img src=""KoenoKatachi_1_0.9.17.478.jpg"">",[sound:KoenoKatachi_1_0.9.16.372-0.9.18.583.mp3],
Anime,A Silent Voice,A-KoenoKatachi0048,お前さぁ,You know...,お 前[まえ]さぁ,"<img src=""KoenoKatachi_1_0.9.53.159.jpg"">",[sound:KoenoKatachi_1_0.9.52.658-0.9.53.659.mp3],
Anime,A Silent Voice,A-KoenoKatachi0049,もっと　うまくやらねぇと　ウザがられちゃうんじゃねぇの？,"You need to be smarter about things, or people will start to hate you.",もっとうまくやらねぇとウザがられちゃうんじゃねぇの？,"<img src=""KoenoKatachi_1_0.9.56.746.jpg"">",[sound:KoenoKatachi_1_0.9.54.493-0.9.58.998.mp3],
Anime,A Silent Voice,A-KoenoKatachi0050,何だよ,What?,何[なに]だよ,"<img src=""KoenoKatachi_1_0.10.02.293.jpg"">",[sound:KoenoKatachi_1_0.10.01.834-0.10.02.752.mp3],
Anime,A Silent Voice,A-KoenoKatachi0051,きこえの教室の喜多です,I'm Kita from the Class for the Deaf.,きこえの 教室[きょうしつ]の 喜多[きた]です,"<img src=""KoenoKatachi_1_0.10.27.360.jpg"">",[sound:KoenoKatachi_1_0.10.26.359-0.10.28.361.mp3],
Anime,A Silent Voice,A-KoenoKatachi0052,皆さんは　手話(しゅわ)って知っていますか？,Have you all heard of sign language?,皆[みな]さんは 手話[しゅわ](しゅわ)って 知[し]っていますか？,"<img src=""KoenoKatachi_1_0.10.29.842.jpg"">",[sound:KoenoKatachi_1_0.10.28.486-0.10.31.197.mp3],
Anime,A Silent Voice,A-KoenoKatachi0053,“手で話す”と書いて　手話,It's a language where you use your hands.,“ 手[て]で 話[はな]す”と 書[か]いて 手話[しゅわ],"<img src=""KoenoKatachi_1_0.10.32.594.jpg"">",[sound:KoenoKatachi_1_0.10.31.322-0.10.33.866.mp3],
Anime,A Silent Voice,A-KoenoKatachi0054,文字どおり　手で　おしゃべりするんですよ,You can have entire conversations with just hand gestures.,文字[もじ]どおり 手[しゅ]でおしゃべりするんですよ,"<img src=""KoenoKatachi_1_0.10.36.535.jpg"">",[sound:KoenoKatachi_1_0.10.34.533-0.10.38.537.mp3],
Anime,A Silent Voice,A-KoenoKatachi0055,ステキでしょ？,Isn't it amazing?,ステキでしょ？,"<img src=""KoenoKatachi_1_0.10.39.414.jpg"">",[sound:KoenoKatachi_1_0.10.38.621-0.10.40.206.mp3],
Anime,A Silent Voice,A-KoenoKatachi0056,(硝子)ちゃんと　もっとお話しするために,"How does this sound? In order to talk to Shoko lots more,",( 硝子[しょうこ])ちゃんともっとお 話[はな]しするために,"<img src=""KoenoKatachi_1_0.10.43.897.jpg"">",[sound:KoenoKatachi_1_0.10.42.333-0.10.45.461.mp3],
Anime,A Silent Voice,A-KoenoKatachi0057,毎日３分　朝の会を使って　手話を覚えましょう,would you spend three minutes of homeroom each morning learning sign language?,毎日[まいにち]３ 分[ふん] 朝[あさ]の 会[かい]を 使[つか]って 手話[しゅわ]を 覚[おぼ]えましょう,"<img src=""KoenoKatachi_1_0.10.47.776.jpg"">",[sound:KoenoKatachi_1_0.10.45.711-0.10.49.840.mp3],
Anime,A Silent Voice,A-KoenoKatachi0058,先生,"Ecuse me, ma'am.",先生[せんせい],"<img src=""KoenoKatachi_1_0.10.53.761.jpg"">",[sound:KoenoKatachi_1_0.10.53.260-0.10.54.261.mp3],
Anime,A Silent Voice,A-KoenoKatachi0059,はい？,Yes?,はい？,"<img src=""KoenoKatachi_1_0.10.54.950.jpg"">",[sound:KoenoKatachi_1_0.10.54.387-0.10.55.513.mp3],
Anime,A Silent Voice,A-KoenoKatachi0060,ノートに書くのじゃ　ダメなんですか？,Isn't writing in her notebook good enough?,ノートに 書[か]くのじゃダメなんですか？,"<img src=""KoenoKatachi_1_0.10.56.785.jpg"">",[sound:KoenoKatachi_1_0.10.55.596-0.10.57.973.mp3],
Anime,A Silent Voice,A-KoenoKatachi0061,(硝子)ちゃんは　手話を使ったほうが楽なんですよ,Using sign language would make things much easier for Shoko.,( 硝子[しょうこ])ちゃんは 手話[しゅわ]を 使[つか]ったほうが 楽[らく]なんですよ,"<img src=""KoenoKatachi_1_0.11.01.206.jpg"">",[sound:KoenoKatachi_1_0.10.59.016-0.11.03.396.mp3],
Anime,A Silent Voice,A-KoenoKatachi0062,私は手話より　書くほうが楽なんですけど,And it's much easier for me to write.,私[わたし]は 手話[しゅわ]より 書[か]くほうが 楽[らく]なんですけど,"<img src=""KoenoKatachi_1_0.11.06.753.jpg"">",[sound:KoenoKatachi_1_0.11.04.772-0.11.08.734.mp3],
Anime,A Silent Voice,A-KoenoKatachi0063,あの…　私　手話　覚えます,I'll do it. I'll learn sign language.,あの… 私[わたし] 手話[しゅわ] 覚[おぼ]えます,"<img src=""KoenoKatachi_1_0.11.12.863.jpg"">",[sound:KoenoKatachi_1_0.11.10.736-0.11.14.990.mp3],
Anime,A Silent Voice,A-KoenoKatachi0064,ポイント稼ぎ　おつ,Keep scoring them brownie points.,ポイント 稼[かせ]ぎおつ,"<img src=""KoenoKatachi_1_0.11.30.527.jpg"">",[sound:KoenoKatachi_1_0.11.29.630-0.11.31.424.mp3],
Anime,A Silent Voice,A-KoenoKatachi0065,めっちゃ好き　かっこよすぎ,I love him. He's too cool.,めっちゃ 好[す]きかっこよすぎ,"<img src=""KoenoKatachi_1_0.11.34.135.jpg"">",[sound:KoenoKatachi_1_0.11.33.050-0.11.35.219.mp3],
Anime,A Silent Voice,A-KoenoKatachi0066,だね,Right?,だね,"<img src=""KoenoKatachi_1_0.11.35.782.jpg"">",[sound:KoenoKatachi_1_0.11.35.302-0.11.36.262.mp3],
Anime,A Silent Voice,A-KoenoKatachi0067,あッ　来週ドラマ出るし　見ないとだよ,"Oh, he'll be on a TV show net week. Can't miss it for the world.",あ ッ 来週[らいしゅう]ドラマ 出[で]るし 見[み]ないとだよ,"<img src=""KoenoKatachi_1_0.11.38.118.jpg"">",[sound:KoenoKatachi_1_0.11.36.387-0.11.39.849.mp3],
Anime,A Silent Voice,A-KoenoKatachi0068,あいつ　服ダサくね？,Aren't her clothes lame as hell?,あいつ 服[ふく] ダサ[ださ]くね？,"<img src=""KoenoKatachi_1_0.11.41.309.jpg"">",[sound:KoenoKatachi_1_0.11.40.391-0.11.42.226.mp3],
Anime,A Silent Voice,A-KoenoKatachi0069,ダメだよ　(直)ちゃん,"Don't say that, Nao！",ダメだよ ( 直[なお])ちゃん,"<img src=""KoenoKatachi_1_0.11.43.686.jpg"">",[sound:KoenoKatachi_1_0.11.42.601-0.11.44.770.mp3],
Anime,A Silent Voice,A-KoenoKatachi0070,作者は　この作品を通して…,"Via this book, the author...",作者[さくしゃ]はこの 作品[さくひん]を 通[とお]して…,"<img src=""KoenoKatachi_1_0.11.46.981.jpg"">",[sound:KoenoKatachi_1_0.11.46.063-0.11.47.898.mp3],
Anime,A Silent Voice,A-KoenoKatachi0071,実験のあとも二酸化マンガンは…,"Even after the eperiment, the manganese dioide...",実験[じっけん]のあとも 二酸化マンガン[にさんかまんがん]は…,"<img src=""KoenoKatachi_1_0.11.49.087.jpg"">",[sound:KoenoKatachi_1_0.11.47.982-0.11.50.192.mp3],
Anime,A Silent Voice,A-KoenoKatachi0072,広瀬　お前そっち,"Hirose, take that side.",広瀬[ひろせ]お 前[まえ]そっち,"<img src=""KoenoKatachi_1_0.11.58.222.jpg"">",[sound:KoenoKatachi_1_0.11.57.158-0.11.59.285.mp3],
Anime,A Silent Voice,A-KoenoKatachi0073,なにやってんの　(石田),"What are you doing, Ishida?",なにやってんの ( 石田[いしだ]),"<img src=""KoenoKatachi_1_0.12.03.289.jpg"">",[sound:KoenoKatachi_1_0.12.02.288-0.12.04.290.mp3],
Anime,A Silent Voice,A-KoenoKatachi0074,やめときなよ,Stop that.,やめときなよ,"<img src=""KoenoKatachi_1_0.12.05.124.jpg"">",[sound:KoenoKatachi_1_0.12.04.373-0.12.05.875.mp3],
Anime,A Silent Voice,A-KoenoKatachi0075,星…,And a star.,星[ほし]…,"<img src=""KoenoKatachi_1_0.12.06.959.jpg"">",[sound:KoenoKatachi_1_0.12.06.292-0.12.07.626.mp3],
Anime,A Silent Voice,A-KoenoKatachi0076,(石田)　やりすぎだって,"You're going too far, man.",( 石田[いしだ])やりすぎだって,"<img src=""KoenoKatachi_1_0.12.08.753.jpg"">",[sound:KoenoKatachi_1_0.12.07.710-0.12.09.795.mp3],
Anime,A Silent Voice,A-KoenoKatachi0077,そお？　こんなもんっしょ,Really? I think it's just right.,そお？　こんなもんっしょ,"<img src=""KoenoKatachi_1_0.12.11.214.jpg"">",[sound:KoenoKatachi_1_0.12.10.004-0.12.12.423.mp3],
Anime,A Silent Voice,A-KoenoKatachi0078,悪い奴,"Bad, bad boy.",悪[わる]い 奴[やつ],"<img src=""KoenoKatachi_1_0.12.14.404.jpg"">",[sound:KoenoKatachi_1_0.12.13.632-0.12.15.176.mp3],
Anime,A Silent Voice,A-KoenoKatachi0079,いいじゃん　いいじゃん,Who cares?,いいじゃんいいじゃん,"<img src=""KoenoKatachi_1_0.12.16.386.jpg"">",[sound:KoenoKatachi_1_0.12.15.301-0.12.17.470.mp3],
Anime,A Silent Voice,A-KoenoKatachi0080,いい感じ,Looking good！,いい 感[かん]じ,"<img src=""KoenoKatachi_1_0.12.18.617.jpg"">",[sound:KoenoKatachi_1_0.12.17.761-0.12.19.472.mp3],
Anime,A Silent Voice,A-KoenoKatachi0081,うわぁ　誰が　こんなことしたの？,"Yikes, who did this?",うわぁ 誰[だれ]がこんなことしたの？,"<img src=""KoenoKatachi_1_0.12.31.129.jpg"">",[sound:KoenoKatachi_1_0.12.29.607-0.12.32.651.mp3],
Anime,A Silent Voice,A-KoenoKatachi0082,ひどい,How mean.,ひどい,"<img src=""KoenoKatachi_1_0.12.33.694.jpg"">",[sound:KoenoKatachi_1_0.12.33.027-0.12.34.361.mp3],
Anime,A Silent Voice,A-KoenoKatachi0083,私が代わりに　消してあげるね,"I'll wipe it for you, okay?",私[わたし]が 代[か]わりに 消[け]してあげるね,"<img src=""KoenoKatachi_1_0.12.37.010.jpg"">",[sound:KoenoKatachi_1_0.12.35.696-0.12.38.324.mp3] [sound:KoenoKatachi_1_0.12.38.407-0.12.40.409.mp3],
Anime,A Silent Voice,A-KoenoKatachi0084,はいッ,There.,はいッ,"<img src=""KoenoKatachi_1_0.12.41.160.jpg"">",[sound:KoenoKatachi_1_0.12.40.659-0.12.41.660.mp3],
Anime,A Silent Voice,A-KoenoKatachi0085,できた,All gone.,できた,"<img src=""KoenoKatachi_1_0.12.43.162.jpg"">",[sound:KoenoKatachi_1_0.12.42.369-0.12.43.954.mp3],
Anime,A Silent Voice,A-KoenoKatachi0086,どういたしまして,You're welcome.,どういたしまして,"<img src=""KoenoKatachi_1_0.13.03.703.jpg"">",[sound:KoenoKatachi_1_0.13.02.556-0.13.04.850.mp3],
Anime,A Silent Voice,A-KoenoKatachi0087,行こうぜ,Let's bounce.,行[い]こうぜ,"<img src=""KoenoKatachi_1_0.13.05.914.jpg"">",[sound:KoenoKatachi_1_0.13.05.309-0.13.06.519.mp3],
Anime,A Silent Voice,A-KoenoKatachi0088,縄文時代は…,Back in the Jomon Period...,縄文時代[じょうもんじだい]は…,"<img src=""KoenoKatachi_1_0.13.10.627.jpg"">",[sound:KoenoKatachi_1_0.13.10.147-0.13.11.106.mp3],
Anime,A Silent Voice,A-KoenoKatachi0089,オラ　(石田)ぁ,"Come on, Ishida.",オラ ( 石田[いしだ])ぁ,"<img src=""KoenoKatachi_1_0.13.18.155.jpg"">",[sound:KoenoKatachi_1_0.13.17.446-0.13.18.864.mp3],
Anime,A Silent Voice,A-KoenoKatachi0090,授業中だろうが,We're in the middle of class.,授業中[じゅぎょうちゅう]だろうが,"<img src=""KoenoKatachi_1_0.13.20.241.jpg"">",[sound:KoenoKatachi_1_0.13.19.365-0.13.21.116.mp3],
Anime,A Silent Voice,A-KoenoKatachi0091,はい　すいません,I'm very sorry！,はいすいません,"<img src=""KoenoKatachi_1_0.13.21.972.jpg"">",[sound:KoenoKatachi_1_0.13.21.242-0.13.22.701.mp3],
Anime,A Silent Voice,A-KoenoKatachi0092,えっと　どこまでだったかな,"Where were we, again...",えっとどこまでだったかな,"<img src=""KoenoKatachi_1_0.13.25.976.jpg"">",[sound:KoenoKatachi_1_0.13.24.578-0.13.27.373.mp3],
Anime,A Silent Voice,A-KoenoKatachi0093,あ　どんな家に　住んでたかというと―,"Right, what kind of houses they lived in.",あどんな 家[いえ]に 住[す]んでたかというと―,"<img src=""KoenoKatachi_1_0.13.29.145.jpg"">",[sound:KoenoKatachi_1_0.13.27.456-0.13.30.834.mp3],
Anime,A Silent Voice,A-KoenoKatachi0094,ねえねえ　(西宮)さん,"Hey, Nishimiya.",ねえねえ ( 西宮[にしみや])さん,"<img src=""KoenoKatachi_1_0.13.36.048.jpg"">",[sound:KoenoKatachi_1_0.13.34.713-0.13.37.383.mp3],
Anime,A Silent Voice,A-KoenoKatachi0095,これってさ　ホントは聞こえるってこと？,"If you're wearing these, can you actually hear?",これってさホントは 聞[き]こえるってこと？,"<img src=""KoenoKatachi_1_0.13.41.575.jpg"">",[sound:KoenoKatachi_1_0.13.39.927-0.13.43.222.mp3],
Anime,A Silent Voice,A-KoenoKatachi0096,あッ　だよね　私も思った,"Right. I was wondering that, too.",あ ッ[っ]だよね 私[わたし]も 思[おも]ったぁ,"<img src=""KoenoKatachi_1_0.13.44.890.jpg"">",[sound:KoenoKatachi_1_0.13.43.305-0.13.46.475.mp3],
Anime,A Silent Voice,A-KoenoKatachi0097,ちょっと見せて,Show me for a sec.,ちょっと 見[み]せて,"<img src=""KoenoKatachi_1_0.13.47.289.jpg"">",[sound:KoenoKatachi_1_0.13.46.559-0.13.48.018.mp3],
Anime,A Silent Voice,A-KoenoKatachi0099,それ何？　貸して,What is that? Lemme see.,それ 何[なに]？　 貸[か]して,"<img src=""KoenoKatachi_1_0.13.53.462.jpg"">",[sound:KoenoKatachi_1_0.13.52.398-0.13.54.525.mp3],
Anime,A Silent Voice,A-KoenoKatachi0100,よッ　うわ　何これ,"Ugh, what is this?",よッ　うわ 何[なに]これ,"<img src=""KoenoKatachi_1_0.13.59.614.jpg"">",[sound:KoenoKatachi_1_0.13.58.529-0.14.00.698.mp3],
Anime,A Silent Voice,A-KoenoKatachi0101,汚たね！,Gross！,汚[き]たね！,"<img src=""KoenoKatachi_1_0.14.01.761.jpg"">",[sound:KoenoKatachi_1_0.14.00.781-0.14.02.741.mp3],
Anime,A Silent Voice,A-KoenoKatachi0102,(西宮)さん…　大丈夫？,"Nishimiya, are you all right?",( 西宮[にしみや])さん… 大丈夫[だいじょうぶ]？,"<img src=""KoenoKatachi_1_0.14.25.327.jpg"">",[sound:KoenoKatachi_1_0.14.24.388-0.14.26.265.mp3],
Anime,A Silent Voice,A-KoenoKatachi0103,あッ　どうしよう…,What do we do?,あ ッ[っ]どうしよう…,"<img src=""KoenoKatachi_1_0.14.27.829.jpg"">",[sound:KoenoKatachi_1_0.14.26.765-0.14.28.893.mp3],
