kanji,romaji,levels,example,translation,mnemonic
ドア,どあ,{},The door opens,Door,
窓,まど,{'窓': 33.0},The window is open,Window,"The hole leading to the private heart of your house is the window. Or maybe it's just the window to your soul, and not your house. Like the poetry people say. You realize that a ton of people are looking into your window and seeing all your private things. This makes you mad (まど)! What right do they have to know your private thoughts and desires?!"
鈴木,すずき,{'鈴': 39.0},Suzuki is sleeping. But his eyes are open.,Suzuki,
泣く,なく,{'泣': 15.0},(Please) cry,To cry,"If you stand in front of a tsunami, you’re going to cry. That tsunami is going to hit you hard, and rip you right off the ground on which you stand. Who wouldn't cry? Do you know the only way to stop yourself crying after a tsunami? That's right, nachos (な)! Nachos are the only proven way to cheer people up after being hit by a tsunami."
プール,ぷーる,{},I'm swimming in the pool,Pool,
嗅ぐ,かぐ,{},Sniff / smell (it),To smell,"Eww! What is that Goo on the Car? Kaguya-san takes a closer look. It's car goo! It smells good. She keeps smelling the car goo." 
急ぐ,いそぐ,{'急': 16.0},Hurry (up)!,To hurry,"A wolverine's heart is in prison, so you need to hurry to set it free. If you don't hurry, its heart won't survive. And the wolverine's death will be on you. Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you: Someone who is trying to hurry is someone who is not at ease (いそ)."
頑張る,がんばる,"{'頑': 14.0, '張': 23.0}",Do your best!,To Persevere,"張る is to stretch. You're stubborn (頑) and want to stretch out what you're doing right now. Although you're stubborn, you keep doing it. You persevere. That's why this word is to persevere."
友達,ともだち,{'達': 18.0},I'm drinking with friends,Friend,"The readings for both of these are readings you haven't learned yet, though maybe you already know this word since it's fairly common. Think of it this way. You have your friend Tom (とも) Cruise. You like him, and he likes you. You're close enough friends that you can touch (だち) each other too. Like, on the shoulder or on the hand or whatever, without it being awkward. So, you like to Tom touch (ともだち) when you can, because he has nice skin."
呼ぶ,呼ぶ,{'呼': 23.0},"My name is Michael, but please call me Mike.",To call,"A mouth that wants peace can call for it. If you don’t have a mouth, you can’t call for peace. So use your mouth and call for peace when you can. Peace is great. But before you call for peace, you must first placate the masses. To do so, you astound them with your yo-yo (よ) skills. Once they are so entranced by how talented you are with a yo-yo, you easily convince them to make peace."
マイケル,まいける,{},"My name is Michael, but please call me Mike.",Michael,
マイク,まいく,{},"My name is Michael, but please call me Mike.",Mike,
オーストラリア,おーすとらりあ,{},I live in Australia,Australia,
遊ぶ,あそぶ,{'遊': 30.0},(Let's) Play / hang out,To play / hangout,"On a scooter running in one direction is a gun-toting child. This is a terribly dangerous situation, but to the child it is just play. You want to play with everyone, but every once in a while someone doesn't want to play with you. You know what? That's okay. If someone doesn't want to play with you, they're the a**hole (あそ), not you."
飛ぶ,とぶ,{},Birds are flying,To fly,"This radical is pretty complicated, but not much looks like this radical, so you're in luck. This looks like a giant flying fortress of some kind. See the propellers on the back as it moves to the left? Just imagine something like this flying through the air. That's why this radical is fly, because it is flying. When you try to fly, the main thing holding you back is your toe (と). It's like forty pounds and holds you down."
テニス,てにす,{},Play tennis!,Tennis,
宿題,しゅくだい,"{'宿': 13.0, '題': 13.0}",Please do your homework,Homework,"I was given homework to write an essay on Shuku Dye. It's a type of dye that is mainly used by the shuku clan, who use it to make their enemies shook."
押す,おす,{'押': 30.0},To push / press,To push,"You're trying to push this turtle out so you can use the shell for your new obi (お). You keep seeing other people wearing turtle shell patterns on their obi, but you're going to go a step further. You're going to MAKE your obi out of actual turtle shells! You just have to push this darn turtle out first."
ボタン,ぼたん,{},Please push the button,Button,
貸す,かす,{'貸': 27.0},Please lend me your eraser,To lend,"You want your friend to lend you some money so you can buy yourself a car (か). You need money and a car a lot more than you need this pile of shellfish, so you’re happy to put them up as collateral for the loan."
消しゴム,けしごむ,{},Please lend me your eraser,Eraser,"You've seen the word 消す, I hope. This comes from that. You're extinguishing something with ゴム. ゴム is a word for either gummy or rubbery things. So, this is a gummy thing that extinguishes something. This is an eraser that extinguishes pencil markings."
アパート,あぱーと,{},"I'm renting an apartment (to someone, not renting from ~)",Apartment,
時計,とけい,{'計': 15.0},Please fix the watch,Watch,"The reading for this is pretty weird. 計 is all nice and normal, but 時 is と for some reason. It probably is coming from the vocab word 時 (とき), is my guess. But even if it is, it's shortened, making it a step more complicated. Maybe it's just better to imagine that your watch is a walky talky (とけい) and run with that?"
お菓子,おかし,{'菓': 26.0},Please bring some candy,Candy,"Oh, cash? I don't want your cash. I want your candy! Give me all of the okashi-style candy or else!"
パーティー,ぱーてぃー,{},Take it to the party,Party,
ペン,ぺん,{},"This (near me) is a pen (lit. speaking of this, it is a pen)",Pen,
リボン,りぼん,{},That (near you) is a ribbon / bow,Ribbon,
ロシア,ろしあ,{},Russian winter is very cold,Russia,
冷たい,つめたい,{'冷': 28.0},This (near me) water is cold,Cool,"Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's mnemonic to help you: Something that is really cold to the touch is cold enough to make ice cream with."
カメラ,かめら,{},This is a camera,Camera,
ピンク,ぴんく,{},This camera is pink,Pink,
映画,えいが,{'映': 13.0},This movie is interesting / fun / entertaining,Movie,"S-ega is really making movies nowadays with their Sonic release."
面白い,おもしろい,{'面': 16.0},This movie is interesting / fun / entertaining,Interesting,"The reading is unlike what you've learned before, at least with the 面 part (白い is just like the vocab word 白い). When you look at the white face of the object you say to your friend Moe: 'Oh mo!' (おも) because you want him to come over and look at this. Try to imagine someone you know named Moe, or at least a celebrity or something named Moe."
ゲーム,げーむ,{},This game is boring,Game,
アニメ,あにめ,{},The new anime is interesting,Anime,
ダニエル,だにえる,{},"Daniel, is your pen expensive?",Daniel,
ピザ,ぴざ,{},"The pizza at that pizza store is delicious (lit. Speaking of the pizza shop's pizza, it's delicious)",Pizza,
帽子,ぼうし,{'帽': 47.0},Is this a hat?,Hat,"That [bow she] has requires her to wear a special hat to use it properly and fire arrows."
コーラ,こーら,{},Is that (near you) coke?,Cola,
ホワイトボード,ほわいとぼーど,{},This is a whiteboard (inf.),Whiteboard,
猫,ねこ,{'猫': 15.0},Hello Kitty is not a cat (inf.),Cat,
ハローキティ,はろーきてぃ,{},Hello Kitty is not a cat (inf.),Hello Kitty,
辞書,じしょ,"{'辞': 16.0, '書': 16.0}",Wikipedia is not a dictionary (inf.),Dictionary,"Gee, show sure has many meanings in the dictionary. It can mean Polka's show, or show me something cool."
ウィキペディア,うぃきぺでぃあ,{},Wikipedia is not a dictionary (inf.),Wikipedia,
イルカ,いるか,{},A dolphin is not a fish (inf.),Dolphin,"A dolphin ate an ill car that fell into the ocean, and now is also ill as a result."
アメリカ,あめりか,{},I'm not American (inf.),America,
富士山,ふじさん,"{'富': 31.0, '士': 13.0}",Is that Mt. Fuji?,Mt Fuji,
モントリオール,もんとりおーる,{},"Speaking of Montreal, it's very hot",Montreal,
熱い,あつい,{'熱': 13.0},This tea is very hot,Hot (object),
カナダ,かなだ,{},Winter in Canada is cold,Canada,
ピカチュウ,ぴかちゅう,{},I like Pikachu,Pikachu,
フィフティ・シェイズ・オブ・グレイ,ふぃふてぃ・しぇいず・おぶ・ぐれい,{},Fifty shades of Gray is my favourite book lol,Fifty shades of grey,
ハリーポッター,はりーぽったー,{},Harry Potter is my favourite book,Harry potter,
簡単,かんたん,"{'簡': 33.0, '単': 15.0}",Easy kanji,Easy,"Can tans are the easiest way to get a tan. You just open up the can, and you can get an instant tan one minute later."
難しい,むずかしい,{'難': 20.0},Japanese is not difficult,Difficult,"Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you: It's awfully difficult to load a cow into your Moo-zooka (むずか). Click. Boom!"
暇,ひま,{'暇': 27.0},I'm bored! (because there is nothing to do),Spare time,"In my spare time, I always wish to see him (with) a girl. NTR is my thing."
公衆,こうしゅう,{'衆': 28.0},Public bathrooms are not clean,Public,"You already know kou means public. This word also means public. What must we always do in public? Wear shoes!"
トイレ,といれ,{},Public bathrooms are not clean,Toilet,
臭い,くさい,{'臭': 20.0},Public bathrooms stink,Stinky,"You're stinking up the room because you spent your day rolling in 草 (くさ). And based on this particular stench, I'd say an animal left something in that 草 too..."
スターウォーズ,,{},Star wars was interesting,Star Wars,"ウォ　is typed like who"
子供,こども,{'供': 24},"when I was a child, I used to be cute",Child,"The readings for this one are the kun'yomi readings of each kanji. 子 is just こ, like the individual vocab word. 供 is ども, however. Remember this by thinking how much children love domo-kun. Also, 子ども is kind of more 'politically correct' with the kana hanging off there. 子供 is still used in a lot of situations, usually stiff ones. The second kanji means servant, and some people don't like that. The second version pops up a decent amount, so it's good to be familiar with that as well."
背が高い,せがたかい,{'背': 30},My (older) sister is tall.,Tall (referring to person),"The person who made Sega was tall. You wouldn't just call him normal tall though - he's SEGA tall."
暖かい,あたたかい,{'暖': 32},Not warm,Warm (weather),"This is a single kanji with an い on the end, meaning you know it's probably an adjective. What's the adjective form of warm? It's warm as well! Though this is for a warm weather or temperature, not some warm food or something like that, that would be 温かい, a different あたたかい. Confusing, right? The reading is the same like 温かい, which also means warm, though it refers to a warm thing unlike 暖かい which refers to a warm temperature or place. *Note that あったかい is for spoken Japanese. The 'correct' reading is still あたたかい. But we've added this reading too for you chattygattors out there."
静か,しずか,{'静': 18},It was quiet (formal),Quiet,"Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you: You need to be quiet. She's (しず) being nice and quiet, unlike you!"
寿司,すし,"{'寿': 35, '司': 15}",The sushi was not tasty,Sushi,"There isn't really a mnemonic to help with this one, as its an ateji."
ミッキーマウス,,{},Mickey Mouse is cool / handsome,Micky Mouse,
